 Task Expected Results 
-----------------------
 Lab 8: Step 2: Task 1
(1 row)

   customer_name   | contact_id | ri_rental_id | ri_id | p_item_id | ri_item_id | ri_price | amount 
-------------------+------------+--------------+-------+-----------+------------+----------+--------
 Winn, Brian       |       1002 |         1005 |  1009 |      1001 |       1001 |     5.00 |   5.00
 Winn, Brian       |       1002 |         1005 |  1008 |      1007 |       1007 |     5.00 |   5.00
 Vizquel, Oscar    |       1003 |         1001 |  1003 |      1005 |       1005 |     5.00 |   5.00
 Vizquel, Oscar    |       1003 |         1001 |  1001 |      1002 |       1002 |     5.00 |   5.00
 Vizquel, Oscar    |       1003 |         1001 |  1002 |      1004 |       1004 |     5.00 |   5.00
 Vizquel, Doreen   |       1004 |         1002 |  1004 |      1016 |       1016 |     5.00 |   5.00
 Vizquel, Doreen   |       1004 |         1002 |  1005 |      1021 |       1021 |     5.00 |   5.00
 Sweeney, Meaghan  |       1005 |         1003 |  1006 |      1019 |       1019 |     5.00 |   5.00
 Sweeney, Ian M    |       1007 |         1004 |  1007 |      1014 |       1014 |     5.00 |   5.00
 Potter, Harry     |       1013 |         1006 |  1010 |      1023 |       1023 |     5.00 |   5.00
 Potter, Harry     |       1013 |         1006 |  1011 |      1022 |       1022 |     5.00 |   5.00
 Potter, Ginny     |       1014 |         1007 |  1012 |      1023 |       1023 |    10.00 |  10.00
 Potter, Lily Luna |       1015 |         1008 |  1013 |      1022 |       1022 |    15.00 |  15.00
(13 rows)

